ALA Aland Islands        AXala-aland-islands 000000000000000000000000000000002020-04-22T16:54:51Z
Cocos (Keeling) Islands  CCcocos-keeling-isla000000000000000000000000000000002020-04-22T16:54:51Z
Colombia                 COcolombia          001720041490000700196000000008042020-04-22T16:54:51Z
Comoros                  KMcomoros           000000000000000000000000000000002020-04-22T16:54:51Z
Congo (Brazzaville)      CGcongo-brazzaville 000050001650000000006000000000162020-04-22T16:54:51Z
Congo (Kinshasa)         CDcongo-kinshasa    000080003500000000025000080000352020-04-22T16:54:51Z
Cook Islands             CKcook-islands      000000000000000000000000000000002020-04-22T16:54:51Z
Costa Rica               CRcosta-rica        000070006690000000006000260001502020-04-22T16:54:51Z
Croatia                  HRcroatia           000270019080000100048000300008012020-04-22T16:54:51Z
Cuba                     CUcuba              000500011370000200038000240003092020-04-22T16:54:51Z
Cyprus                   CYcyprus            000120007840000000012000170000982020-04-22T16:54:51Z
Czech Republic           CZczech-republic    001330070330000700201001940017532020-04-22T16:54:51Z
Côte d'Ivoire            CIcote-divoire     0000690009160000400013000430003032020-04-22T16:54:51Z
Denmark                  DKdenmark           001800078910000600370003900048892020-04-22T16:54:51Z
Djibouti                 DJdjibouti          000990009450000000002000100001122020-04-22T16:54:51Z
Dominica                 DMdominica          000000000160000000000000000000082020-04-22T16:54:51Z
Dominican Republic       DOdominican-republic000800050440001000245000470004632020-04-22T16:54:51Z
Ecuador                  ECecuador           002700103980001300520000570012072020-04-22T16:54:51Z
Egypt                    EGegypt             001570034900001400264000490008702020-04-22T16:54:51Z
El Salvador              SVel-salvador       000070002250000000007000020000482020-04-22T16:54:51Z
Equatorial Guinea        GQequatorial-guinea 000040000830000000000000000000072020-04-22T16:54:51Z
Eritrea                  EReritrea           000000000390000000000000030000062020-04-22T16:54:51Z
Estonia                  EEestonia           000170015520000300043000040001692020-04-22T16:54:51Z
Ethiopia                 ETethiopia          000030001140000000003000000000162020-04-22T16:54:51Z
Falkland Islands         FKfalkland-islands  000000000000000000000000000000002020-04-22T16:54:51Z
Faroe Islands            FOfaroe-islands     000000000000000000000000000000002020-04-22T16:54:51Z
Fiji                     FJfiji              000000000180000000000000000000032020-04-22T16:54:51Z
Finland                  FIfinland           001460040140004300141000000002002020-04-22T16:54:51Z
France                   FRfrance            028171592970053720829017830398192020-04-22T16:54:51Z
French Guiana            GFfrench-guiana     000000000000000000000000000000002020-04-22T16:54:51Z
French Polynesia         PFfrench-polynesia  000000000000000000000000000000002020-04-22T16:54:51Z
French Southern Terr     TFfrench-southern   000000000000000000000000000000002020-04-22T16:54:51Z
Gabon                    GAgabon             000360001560000000001000090000162020-04-22T16:54:51Z
Gambia                   GMgambia            000000001000000100000000020000002020-04-22T16:54:51Z
Georgia                  GEgeorgia           000060004080000000004000020000972020-04-22T16:54:51Z
Germany                  DEgermany           012260001480029100171050330952002020-04-22T16:54:51Z
Ghana                    GHghana             010420000000000900000000990000002020-04-22T16:54:51Z
Gibraltar                GIgibraltar         000000000000000000000000000000002020-04-22T16:54:51Z
Greece                   GRgreece            001560024010000500121003080005772020-04-22T16:54:51Z
Greenland                GLgreenland         000000000000000000000000000000002020-04-22T16:54:51Z
Grenada                  GDgrenada           000000001400000000000000060000002020-04-22T16:54:51Z
Guadeloupe               GPguadeloupe        000000000000000000000000000000002020-04-22T16:54:51Z
Guam                     GUguam              000000000000000000000000000000002020-04-22T16:54:51Z
Guatemala                GTguatemala         000050002940000000007000030000242020-04-22T16:54:51Z
Guernsey                 GGguernsey          000000000000000000000000000000002020-04-22T16:54:51Z
Guinea                   GNguinea            000660006880000100006000050001272020-04-22T16:54:51Z
Guinea-Bissau            GWguinea-bissau     000000000500000000000000000000032020-04-22T16:54:51Z
Guyana                   GYguyana            000010000660000000007000000000092020-04-22T16:54:51Z
Haiti                    HThaiti             000000000570000000003000000000002020-04-22T16:54:51Z
Heard Mcdonald Islan     HMheardmcdonald     000000000000000000000000000000002020-04-22T16:54:51Z
Holy See                 VAholyseevaticancity000000000090000000000000000000022020-04-22T16:54:51Z
Honduras                 HNhonduras          000170004940000000046000040000292020-04-22T16:54:51Z
Hong Kong, SAR China     HKhong-kong-sar-chin000000000000000000000000000000002020-04-22T16:54:51Z
Hungary                  HUhungary           001140020980001400213000200002872020-04-22T16:54:51Z
Iceland                  ISiceland           000050017780000000010000550014172020-04-22T16:54:51Z
India                    INindia             015410200800005300645007020039752020-04-22T16:54:51Z
Indonesia                IDindonesia         003750071350002600616000950008422020-04-22T16:54:51Z
Iran, Islamic Republic   IRiran              012970848020008805297016920609652020-04-22T16:54:51Z
Iraq                     IQiraq              000280016020000100083000530010962020-04-22T16:54:51Z
Ireland                  IEireland           000030160400004300730091560092332020-04-22T16:54:51Z
Isle of Man              IMisle-of-man       000000000000000000000000000000002020-04-22T16:54:51Z
Israel                   ILisrael            002290139420000700184004580045072020-04-22T16:54:51Z
Italy                    ITitaly             027290183957053424648027230516002020-04-22T16:54:51Z
Jamaica                  JMjamaica           000000223000000100006000000000272020-04-22T16:54:51Z
Japan                    JPjapan             003380111350002700263000800012392020-04-22T16:54:51Z
Jersey                   JEjersey            000000000000000000000000000000002020-04-22T16:54:51Z
Jordan                   JOjordan            000030004280000000007000150002972020-04-22T16:54:51Z
Kazakhstan               KZkazakhstan        001430019950000000019000420004892020-04-22T16:54:51Z
Kenya                    KEkenya             000150002960000000014000050000742020-04-22T16:54:51Z
Kiribati                 KIkiribati          000000000000000000000000000000002020-04-22T16:54:51Z
Korea (North)            KPkorea-north       000000000000000000000000000000002020-04-22T16:54:51Z
Korea (South)            KRkorea-south       000090106830000100237000990082132020-04-22T16:54:51Z
Kuwait                   KWkuwait            000850020800000200011000450004122020-04-22T16:54:51Z
Kyrgyzstan               KGkyrgyzstan        000220005900000000007000150002162020-04-22T16:54:51Z
Lao PDR                  LAlao-pdr           000000000190000000000000000000022020-04-22T16:54:51Z
Latvia                   LVlatvia            000090007480000400009000450001332020-04-22T16:54:51Z
Lebanon                  LBlebanon           000000006770000000021000050001082020-04-22T16:54:51Z
Lesotho                  LSlesotho           000000000000000000000000000000002020-04-22T16:54:51Z
Liberia                  LRliberia           000020001010000000008000000000072020-04-22T16:54:51Z
Libya                    LYlibya             000000000510000000001000000000152020-04-22T16:54:51Z
Liechtenstein            LIliechtenstein     000000000810000000001000000000552020-04-22T16:54:51Z
Lithuania                LTlithuania         000240013500000100038000560002982020-04-22T16:54:51Z
Luxembourg               LUluxembourg        000600036180000300078000330006702020-04-22T16:54:51Z
Macao, SAR China         MOmacao-sar-china   000000000000000000000000000000002020-04-22T16:54:51Z
Macedonia, Republic of   MKmacedonia         000060012310000100055000240002242020-04-22T16:54:51Z
Madagascar               MGmadagascar        000000001210000000000000030000442020-04-22T16:54:51Z
Malawi                   MWmalawi            000010000180000000002000000000032020-04-22T16:54:51Z
Malaysia                 MYmalaysia          000570054820000300092000540033492020-04-22T16:54:51Z
Maldives                 MVmaldives          000140000830000000000000000000162020-04-22T16:54:51Z
Mali                     MLmali              000120002580000000014000010000572020-04-22T16:54:51Z
Malta                    MTmalta             000120004430000000003000240001502020-04-22T16:54:51Z
Marshall Islands         MHmarshall-islands  000000000000000000000000000000002020-04-22T16:54:51Z
Martinique               MQmartinique        000000000000000000000000000000002020-04-22T16:54:51Z
Mauritania               MRmauritania        000000000070000000001000000000062020-04-22T16:54:51Z
Mauritius                MUmauritius         000000003280000000009000190002432020-04-22T16:54:51Z
Mayotte                  YTmayotte           000000000000000000000000000000002020-04-22T16:54:51Z
Mexico                   MXmexico            005110087720002600712000000026272020-04-22T16:54:51Z
Micronesia               FMmicronesia        000000000000000000000000000000002020-04-22T16:54:51Z
Moldova                  MDmoldova           000660026140000200072000480005052020-04-22T16:54:51Z
Monaco                   MCmonaco            000000000940000000003000030000262020-04-22T16:54:51Z
Mongolia                 MNmongolia          000010000340000000000000010000082020-04-22T16:54:51Z
Montenegro               MEmontenegro        000010003130000000005000130001012020-04-22T16:54:51Z
Montserrat               MSmontserrat        000000000000000000000000000000002020-04-22T16:54:51Z
Morocco                  MAmorocco           001630032090000200145000430003932020-04-22T16:54:51Z
Mozambique               MZmozambique        000000000390000000000000000000082020-04-22T16:54:51Z
Myanmar                  MMmyanmar           000020001210000000005000000000072020-04-22T16:54:51Z
Namibia                  NAnamibia           000000000160000000000000000000062020-04-22T16:54:51Z
Nauru                    NRnauru             000000000000000000000000000000002020-04-22T16:54:51Z
Nepal                    NPnepal             000020000480000000000000000000042020-04-22T16:54:51Z
Netherlands Antilles     ANnetherlands-antill000000000000000000000000000000002020-04-22T16:54:51Z
New Caledonia            NCnew-caledonia     000000000000000000000000000000002020-04-22T16:54:51Z
New Zealand              NZnew-zealand       000050014450000100013000320010062020-04-22T16:54:51Z
Nicaragua                NInicaragua         000000000100000000002000010000072020-04-22T16:54:51Z
Niger                    NEniger             000090006570000000020000100001272020-04-22T16:54:51Z
Nigeria                  NGnigeria           000000006650000000022000000001882020-04-22T16:54:51Z
Niue                     NUniue              000000000000000000000000000000002020-04-22T16:54:51Z
Norfolk Island           NFnorfolk-island    000000000000000000000000000000002020-04-22T16:54:51Z
Northern Mariana Islands MPnorthern-mariana  000000000000000000000000000000002020-04-22T16:54:51Z
Norway                   NOnorway            000350071910000100182000000000322020-04-22T16:54:51Z
Oman                     OMoman              000980015080000100008000000002382020-04-22T16:54:51Z
Pakistan                 PKpakistan          011470095650002500201001030020732020-04-22T16:54:51Z
Palau                    PWpalau             000000000000000000000000000000002020-04-22T16:54:51Z
Palestinian Territory    PSpalestine         000170004660000100004000000000712020-04-22T16:54:51Z
Panama                   PApanama            001910046580001000136003900002042020-04-22T16:54:51Z
Papua New Guinea         PGpapua-new-guinea  000000000070000000000000000000002020-04-22T16:54:51Z
Paraguay                 PYparaguay          000000002080000000008000070000532020-04-22T16:54:51Z
Peru                     PEperu              015120178370003900484000140069822020-04-22T16:54:51Z
Philippines              PHphilippines       001400065990000900437000410006542020-04-22T16:54:51Z
Pitcairn                 PNpitcairn          000000000000000000000000000000002020-04-22T16:54:51Z
Poland                   PLpoland            002630098560002100401001640012972020-04-22T16:54:51Z
Portugal                 PTportugal          005160213790002700762003070009172020-04-22T16:54:51Z
Puerto Rico              PRpuerto-rico       000000000000000000000000000000002020-04-22T16:54:51Z
Qatar                    QAqatar             005180065330000000009000590006142020-04-22T16:54:51Z
Republic of Kosovo       XKkosovo            000000005100000000012000000000932020-04-22T16:54:51Z
Romania                  ROromania           003060092420002000498001360021532020-04-22T16:54:51Z
Russian Federation       RUrussia            056420527630005100456004270038732020-04-22T16:54:51Z
Rwanda                   RWrwanda           0000030001500000000000000080000842020-04-22T16:54:51Z
Réunion                 REréunion         000000000000000000000000000000000002020-04-22T16:54:51Z
Saint Helena             SHsaint-helena      000000000000000000000000000000002020-04-22T16:54:51Z
Saint Kitts and Nevis    KNsaint-kitts-and-ne000000000150000000000000000000002020-04-22T16:54:51Z
Saint Lucia              LCsaint-lucia       000000000150000000000000000000132020-04-22T16:54:51Z
Saint Pierre and Miquelo PMsaint-pierre-and-m000000000000000000000000000000002020-04-22T16:54:51Z
Saint Vincent and Grenad VCsaint-vincent-and-000000000120000000000000010000022020-04-22T16:54:51Z
Saint-Barthélemy        BLsaint-barthélemy 0000000000000000000000000000000002020-04-22T16:54:51Z
Saint-Martin             MFsaint-martin-frenc000000000000000000000000000000002020-04-22T16:54:51Z
Samoa                    WSsamoa             000000000000000000000000000000002020-04-22T16:54:51Z
San Marino               SMsan-marino        000140004760000100040000010000622020-04-22T16:54:51Z
Sao Tome and Principe    STsao-tome-and-princ000000000040000000000000000000002020-04-22T16:54:51Z
Saudi Arabia             SAsaudi-arabia      011470116310000600109001500016402020-04-22T16:54:51Z
Senegal                  SNsenegal           000350004120000000005000070002422020-04-22T16:54:51Z
Serbia                   RSserbia            000000066300000000125000000008702020-04-22T16:54:51Z
Seychelles               SCseychelles        000000000110000000000000000000052020-04-22T16:54:51Z
Sierra Leone             SLsierra-leone      000070000500000000000000000000062020-04-22T16:54:51Z
Singapore                SGsingapore         011110091250000000011000380008392020-04-22T16:54:51Z
Slovakia                 SKslovakia          000260011990000100014000070002582020-04-22T16:54:51Z
Slovenia                 SIslovenia          000090013440000000077000040001972020-04-22T16:54:51Z
Solomon Islands          SBsolomon-islands   000000000000000000000000000000002020-04-22T16:54:51Z
Somalia                  SOsomalia           000490002860000000008000000000042020-04-22T16:54:51Z
South Africa             ZAsouth-africa      001650034650000000058000000010552020-04-22T16:54:51Z
S Georgia S Sandwich     GSs-georgia-s-sandwi000000000000000000000000000000002020-04-22T16:54:51Z
South Sudan              SSsouth-sudan       000000000040000000000000000000002020-04-22T16:54:51Z
Spain                    ESspain             039682041780043021282019270825142020-04-22T16:54:51Z
Sri Lanka                LKsri-lanka         000060003100000000007000040001022020-04-22T16:54:51Z
Sudan                    SDsudan             000000001070000000012000000000082020-04-22T16:54:51Z
Suriname                 SRsuriname          000000000100000000001000000000062020-04-22T16:54:51Z
Svalbard and Jan Mayen   SJsvalbard-and-jan-m000000000000000000000000000000002020-04-22T16:54:51Z
Swaziland                SZswaziland         000070000310000000001000000000082020-04-22T16:54:51Z
Sweden                   SEsweden            005450153220018501765000000005502020-04-22T16:54:51Z
Switzerland              CHswitzerland       001190280630004901478008000194002020-04-22T16:54:51Z
Syrian Arab Republic     SYsyria             000030000420000000003000010000062020-04-22T16:54:51Z
Taiwan, Republic of Chin TWtaiwan            000030004250000000006000140002172020-04-22T16:54:51Z
Tajikistan               TJtajikistan        000000000000000000000000000000002020-04-22T16:54:51Z
"Tanzania, United        TZtanzania          000000002540000000010000000000112020-04-22T16:54:51Z
Thailand                 THthailand          000190028110000100048001090021082020-04-22T16:54:51Z
Timor-Leste              TLtimor-leste       000010000230000000000000000000012020-04-22T16:54:51Z
Togo                     TGtogo              000020000860000000006000030000562020-04-22T16:54:51Z
Tokelau                  TKtokelau           000000000000000000000000000000002020-04-22T16:54:51Z
Tonga                    TOtonga             000000000000000000000000000000002020-04-22T16:54:51Z
Trinidad and Tobago      TTtrinidad-and-tobag000010001150000000008000060000282020-04-22T16:54:51Z
Tunisia                  TNtunisia           000000008840000000038000000001482020-04-22T16:54:51Z
Turkey                   TRturkey            046110955910011902259014880149182020-04-22T16:54:51Z
Turkmenistan             TMturkmenistan      000000000000000000000000000000002020-04-22T16:54:51Z
Turks and Caicos Islands TCturks-and-caicos-i000000000000000000000000000000000020-04-22T16:54:51Z
Tuvalu                   TVtuvalu            000000000000000000000000000000002020-04-22T16:54:51Z
US Minor Outlying Island UMus-minor-outlying-000000000000000000000000000000002020-04-22T16:54:51Z
Uganda                   UGuganda            000050000610000000000000000000382020-04-22T16:54:51Z
Ukraine                  UAukraine           004150061250001000161000080003672020-04-22T16:54:51Z
United Arab Emirates     AEunited-arab-emirat004900077550000300046000830014432020-04-22T16:54:51Z
United Kingdom           GBunited-kingdom    043161301720082817378001920006382020-04-22T16:54:51Z
United States of America USunited-states     332538169630270644781028750752042020-04-22T16:54:51Z
Uruguay                  UYuruguay           000000005350000100011000000003132020-04-22T16:54:51Z
Uzbekistan               UZuzbekistan        000510016780000100006000960003572020-04-22T16:54:51Z
Vanuatu                  VUvanuatu           000000000000000000000000000000002020-04-22T16:54:51Z
Venezuela                VEvenezuela         000290002850000100010000000001172020-04-22T16:54:51Z
Viet Nam                 VNvietnam           000000002680000000000000020002162020-04-22T16:54:51Z
"Virgin Islands, US"     VIvirgin-islands    000000000000000000000000000000002020-04-22T16:54:51Z
Wallis and Futuna Island WFwallis-and-futuna 000000000000000000000000000000000020-04-22T16:54:51Z
Western Sahara           EHwestern-sahara    000000000060000000000000000000002020-04-22T16:54:51Z
Yemen                    YEyemen             000000000010000000000000000000002020-04-22T16:54:51Z
Zambia                   ZMzambia            000050000700000000003000000000352020-04-22T16:54:51Z
Zimbabwe                 ZWzimbabwe          000030000280000000003000000000022020-04-22T16:54:51Z
